STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
296380,99999, 20120607,   60.8, 8,   47.9, 8, 1009.3, 8,  993.8, 8,  13.7, 8,   2.7, 8,   5.8, 999.9,   70.7 ,  50.0*, 0.00F,999.9, 010000,
296380,99999, 20120608,   64.7, 8,   47.5, 8, 1013.0, 8,  997.5, 8,  13.4, 8,   3.4, 8,   5.8, 999.9,   75.2 ,  48.9 , 0.00I,999.9, 000000,
296380,99999, 20120609,   69.0, 8,   53.1, 8, 1011.5, 8,  996.1, 8,  16.2, 8,   3.4, 8,   7.8, 999.9,   81.3 ,  56.5 , 0.00I,999.9, 000000,
296380,99999, 20120610,   78.3, 8,   51.0, 8, 1007.1, 8,  992.0, 8,  16.2, 8,   5.1, 8,   7.8, 999.9,   89.8 ,  55.8 , 0.00I,999.9, 000000,
296380,99999, 20120611,   74.8, 8,   57.2, 8, 1006.3, 8,  991.4, 8,  12.8, 8,   4.4, 8,   7.8, 999.9,   85.3 ,  62.6*,99.99 ,999.9, 010010,
296380,99999, 20120612,   66.2, 8,   60.1, 8, 1007.1, 8,  992.0, 8,  12.8, 8,   4.9, 8,   7.8, 999.9,   70.3 ,  61.2 , 0.24F,999.9, 010010,
296380,99999, 20120613,   76.0, 8,   54.2, 8, 1004.7, 8,  989.7, 8,  14.4, 8,   6.6, 8,  11.7, 999.9,   90.7 ,  62.8 , 0.02F,999.9, 010000,
296380,99999, 20120614,   71.4, 8,   57.1, 8, 1006.5, 8,  991.2, 8,  16.9, 8,   4.4, 8,   7.8, 999.9,   84.4 ,  59.2*, 0.00I,999.9, 000010,
296380,99999, 20120615,   67.1, 8,   61.5, 8, 1004.2, 8,  988.8, 8,  11.5, 8,   3.6, 8,   7.8, 999.9,   77.7 ,  59.0 , 0.51E,999.9, 010010,
296380,99999, 20120616,   67.6, 8,   56.6, 8, 1002.1, 8,  986.8, 8,  15.5, 8,   3.2, 8,   5.8, 999.9,   77.5 ,  59.7*, 0.00I,999.9, 000000,
296380,99999, 20120617,   71.6, 8,   58.4, 8, 1001.9, 8,  986.7, 8,  13.9, 8,   1.9, 8,   3.9, 999.9,   81.3 ,  59.0 , 0.00I,999.9, 000000,
296380,99999, 20120618,   72.6, 8,   62.2, 8, 1002.9, 8,  987.7, 8,   8.4, 8,   2.2, 8,   3.9, 999.9,   83.7 ,  59.4 ,99.99 ,999.9, 010000,
296380,99999, 20120619,   70.0, 8,   61.3, 8, 1002.9, 8,  987.7, 8,   7.7, 8,   4.1, 8,  13.6, 999.9,   84.0 ,  62.1*, 0.01E,999.9, 010010,
