"STATION","NAME","DATE","TAVG"
"RSM00027612","MOSCOW, RS","2012-09-15","59"
"RSM00027612","MOSCOW, RS","2012-09-16","56"
"RSM00027612","MOSCOW, RS","2012-09-17","53"
"RSM00027612","MOSCOW, RS","2012-09-18","56"
"RSM00027612","MOSCOW, RS","2012-09-19","59"
"RSM00027612","MOSCOW, RS","2012-09-20","60"
"RSM00027612","MOSCOW, RS","2012-09-21","59"
"RSM00027612","MOSCOW, RS","2012-09-22","55"
"RSM00027612","MOSCOW, RS","2012-09-23","55"
"RSM00027612","MOSCOW, RS","2012-09-24","49"
"RSM00027612","MOSCOW, RS","2012-09-25","51"
"RSM00027612","MOSCOW, RS","2012-09-26","52"
"RSM00027612","MOSCOW, RS","2012-09-27","52"
"RSM00027612","MOSCOW, RS","2012-09-28","64"
"RSM00027612","MOSCOW, RS","2012-09-29","54"
"RSM00027612","MOSCOW, RS","2012-09-30","51"
"RSM00027612","MOSCOW, RS","2012-10-01","51"
"RSM00027612","MOSCOW, RS","2012-10-02","50"
"RSM00027612","MOSCOW, RS","2012-10-03","53"
"RSM00027612","MOSCOW, RS","2012-10-04","58"
"RSM00027612","MOSCOW, RS","2012-10-05","55"
"RSM00027612","MOSCOW, RS","2012-10-06","49"
"RSM00027612","MOSCOW, RS","2012-10-07","49"
"RSM00027612","MOSCOW, RS","2012-10-08","41"
"RSM00027612","MOSCOW, RS","2012-10-09","41"
"RSM00027612","MOSCOW, RS","2012-10-10","42"
"RSM00027612","MOSCOW, RS","2012-10-11","45"
"RSM00027612","MOSCOW, RS","2012-10-12","41"
"RSM00027612","MOSCOW, RS","2012-10-13","43"
"RSM00027612","MOSCOW, RS","2012-10-14","40"
"RSM00027612","MOSCOW, RS","2012-10-15","46"
"RSM00027612","MOSCOW, RS","2012-10-16","48"
"RSM00027612","MOSCOW, RS","2012-10-17","52"
"RSM00027612","MOSCOW, RS","2012-10-18","54"
"RSM00027612","MOSCOW, RS","2012-10-19","49"
"RSM00027612","MOSCOW, RS","2012-10-20","52"
"RSM00027612","MOSCOW, RS","2012-10-21","51"
"RSM00027612","MOSCOW, RS","2012-10-22","45"
"RSM00027612","MOSCOW, RS","2012-10-23","32"
"RSM00027612","MOSCOW, RS","2012-10-24","32"
"RSM00027612","MOSCOW, RS","2012-10-25","36"
"RSM00027612","MOSCOW, RS","2012-10-26","35"
"RSM00027612","MOSCOW, RS","2012-10-27","34"
"RSM00027612","MOSCOW, RS","2012-10-28","35"
"RSM00027612","MOSCOW, RS","2012-10-29","33"
"RSM00027612","MOSCOW, RS","2012-10-30","29"
"RSM00027612","MOSCOW, RS","2012-10-31","33"
"RSM00027612","MOSCOW, RS","2012-11-01","30"
"RSM00027612","MOSCOW, RS","2012-11-02","34"
"RSM00027612","MOSCOW, RS","2012-11-03","37"
"RSM00027612","MOSCOW, RS","2012-11-04","45"
"RSM00027612","MOSCOW, RS","2012-11-05","45"
"RSM00027612","MOSCOW, RS","2012-11-06","47"
"RSM00027612","MOSCOW, RS","2012-11-07","40"
"RSM00027612","MOSCOW, RS","2012-11-08","36"
"RSM00027612","MOSCOW, RS","2012-11-09","37"
"RSM00027612","MOSCOW, RS","2012-11-10","29"
"RSM00027612","MOSCOW, RS","2012-11-11","28"
"RSM00027612","MOSCOW, RS","2012-11-12","36"
"RSM00027612","MOSCOW, RS","2012-11-13","40"
"RSM00027612","MOSCOW, RS","2012-11-14","36"
"RSM00027612","MOSCOW, RS","2012-11-15","40"
